city,date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean,heatwave_type
Augsburg,2025-01-01,FALSE,FALSE,3.7,-10,no_event
Augsburg,2025-01-02,FALSE,FALSE,4.7,-10.1,no_event
Augsburg,2025-01-03,FALSE,FALSE,-0.8,-12,no_event
Augsburg,2025-01-04,FALSE,FALSE,-2.1,-6.1,no_event
Augsburg,2025-01-05,FALSE,FALSE,3.5,-5.8,no_event
Augsburg,2025-01-06,FALSE,FALSE,4.5,-3.1,no_event
Augsburg,2025-01-07,FALSE,FALSE,3.3,-9.1,no_event
Augsburg,2025-01-08,FALSE,FALSE,2.1,-2.4,no_event
Augsburg,2025-01-09,FALSE,FALSE,5.5,-7.4,no_event
Augsburg,2025-01-10,FALSE,FALSE,-0.5,-11,no_event
Augsburg,2025-01-11,FALSE,FALSE,-2.3,-8.6,no_event
Augsburg,2025-01-12,FALSE,FALSE,-1.8,-7.9,no_event
Augsburg,2025-01-13,FALSE,FALSE,-3.1,-9.3,no_event
Augsburg,2025-01-14,FALSE,FALSE,-3,-7.2,no_event
Augsburg,2025-01-15,FALSE,FALSE,-0.5,-3.3,no_event
Augsburg,2025-01-16,FALSE,FALSE,0.8,-5.8,no_event
Augsburg,2025-01-17,FALSE,FALSE,-0.2,-3.9,no_event
Augsburg,2025-01-18,FALSE,FALSE,-0.5,-3.9,no_event
Augsburg,2025-01-19,FALSE,FALSE,-1.1,-2.4,no_event
Augsburg,2025-01-20,FALSE,FALSE,-0.2,-2.1,no_event
Augsburg,2025-01-21,FALSE,FALSE,0.1,-1.4,no_event
Augsburg,2025-01-22,FALSE,FALSE,-0.5,-4,no_event
Augsburg,2025-01-23,FALSE,FALSE,1.9,-6.3,no_event
Augsburg,2025-01-24,FALSE,FALSE,4.4,-2.7,no_event
Augsburg,2025-01-25,FALSE,FALSE,5.5,0.4,no_event
Augsburg,2025-01-26,FALSE,FALSE,4,-5,no_event
Augsburg,2025-01-27,FALSE,FALSE,4.8,-1.5,no_event
Augsburg,2025-01-28,FALSE,FALSE,3.1,-5.3,no_event
Augsburg,2025-01-29,FALSE,FALSE,4,-7.6,no_event
Augsburg,2025-01-30,FALSE,FALSE,2.3,-1.2,no_event
Augsburg,2025-01-31,FALSE,FALSE,2.2,-1.7,no_event
Augsburg,2025-02-01,FALSE,FALSE,0.5,-6.2,no_event
Augsburg,2025-02-02,FALSE,FALSE,-0.2,-2.6,no_event
Augsburg,2025-02-03,FALSE,FALSE,-0.9,-0.9,no_event
Augsburg,2025-02-04,FALSE,FALSE,-0.9,-1.6,no_event
Augsburg,2025-02-05,FALSE,FALSE,-0.2,-1.5,no_event
Augsburg,2025-02-06,FALSE,FALSE,0.1,-7.9,no_event
Augsburg,2025-02-07,FALSE,FALSE,1.2,-7,no_event
Augsburg,2025-02-08,FALSE,FALSE,0.7,-2.7,no_event
Augsburg,2025-02-09,FALSE,FALSE,1.3,0.1,no_event
Augsburg,2025-02-10,FALSE,FALSE,1.6,-0.6,no_event
Augsburg,2025-02-11,FALSE,FALSE,2,-0.5,no_event
Augsburg,2025-02-12,FALSE,FALSE,5.5,3.5,no_event
Augsburg,2025-02-13,FALSE,FALSE,2.5,-1.4,no_event
Augsburg,2025-02-14,FALSE,FALSE,-0.9,-3.4,no_event
Augsburg,2025-02-15,FALSE,FALSE,-1.1,-3.4,no_event
Augsburg,2025-02-16,FALSE,FALSE,-1.3,-7.3,no_event
Augsburg,2025-02-17,FALSE,FALSE,-2.1,-6.7,no_event
Augsburg,2025-02-18,FALSE,FALSE,-2,-9.3,no_event
Augsburg,2025-02-19,FALSE,FALSE,-1.4,-8.4,no_event
Augsburg,2025-02-20,FALSE,FALSE,3.1,1.1,no_event
Augsburg,2025-02-21,FALSE,FALSE,6.1,4,no_event
Augsburg,2025-02-22,FALSE,FALSE,5.1,4.8,no_event
Augsburg,2025-02-23,FALSE,FALSE,6.3,4.4,no_event
Augsburg,2025-02-24,FALSE,FALSE,6,3.7,no_event
Augsburg,2025-02-25,FALSE,TRUE,7.8,7.5,euroheat_only
Augsburg,2025-02-26,FALSE,FALSE,4.1,-6.9,no_event
Augsburg,2025-02-27,FALSE,FALSE,2,-4.9,no_event
Augsburg,2025-02-28,FALSE,FALSE,2.3,-1.4,no_event
Augsburg,2025-03-01,FALSE,FALSE,1.8,-2.3,no_event
Augsburg,2025-03-02,FALSE,FALSE,1.8,-2.7,no_event
Augsburg,2025-03-03,FALSE,FALSE,2.2,-0,no_event
Augsburg,2025-03-04,FALSE,FALSE,3.3,1.9,no_event
Augsburg,2025-03-05,FALSE,FALSE,4.8,3.7,no_event
Augsburg,2025-03-06,FALSE,FALSE,5.5,4,no_event
Augsburg,2025-03-07,FALSE,FALSE,6.1,5.9,no_event
Augsburg,2025-03-08,FALSE,FALSE,6.4,5.9,no_event
Augsburg,2025-03-09,FALSE,FALSE,7,5.6,no_event
Augsburg,2025-03-10,FALSE,FALSE,5.4,1.2,no_event
Augsburg,2025-03-11,FALSE,FALSE,6,3.7,no_event
Augsburg,2025-03-12,FALSE,FALSE,4.9,3.7,no_event
Augsburg,2025-03-13,FALSE,FALSE,3.9,3.6,no_event
Augsburg,2025-03-14,FALSE,FALSE,3.9,2.6,no_event
Augsburg,2025-03-15,FALSE,FALSE,3.9,-6.6,no_event
Augsburg,2025-03-16,FALSE,FALSE,3.3,-1.3,no_event
Augsburg,2025-03-17,FALSE,FALSE,1.6,-4.5,no_event
Augsburg,2025-03-18,FALSE,FALSE,1.3,-8.8,no_event
Augsburg,2025-03-19,FALSE,FALSE,3.4,2.7,no_event
Augsburg,2025-03-20,FALSE,FALSE,7,6.1,no_event
Augsburg,2025-03-21,FALSE,FALSE,9.4,6.2,no_event
Augsburg,2025-03-22,FALSE,FALSE,10.9,9,no_event
Augsburg,2025-03-23,FALSE,FALSE,8.4,4.9,no_event
Augsburg,2025-03-24,FALSE,FALSE,7.8,7.5,no_event
Augsburg,2025-03-25,FALSE,FALSE,8.2,9,no_event
Augsburg,2025-03-26,FALSE,FALSE,6.7,5,no_event
Augsburg,2025-03-27,FALSE,FALSE,6.5,3.4,no_event
Augsburg,2025-03-28,FALSE,FALSE,7.3,6.9,no_event
Augsburg,2025-03-29,FALSE,FALSE,8.2,4,no_event
Augsburg,2025-03-30,FALSE,FALSE,7.4,0.5,no_event
Augsburg,2025-03-31,FALSE,FALSE,5.7,-0.7,no_event
Augsburg,2025-04-01,FALSE,FALSE,5.9,-2.1,no_event
Augsburg,2025-04-02,FALSE,FALSE,9.2,-1.4,no_event
Augsburg,2025-04-03,FALSE,FALSE,10.8,6.6,no_event
Augsburg,2025-04-04,FALSE,FALSE,11.1,8.6,no_event
Augsburg,2025-04-05,FALSE,FALSE,11.2,8.7,no_event
Augsburg,2025-04-06,FALSE,FALSE,3.9,-2.5,no_event
Augsburg,2025-04-07,FALSE,FALSE,4,0.4,no_event
Augsburg,2025-04-08,FALSE,FALSE,5.9,4.2,no_event
Augsburg,2025-04-09,FALSE,FALSE,6.6,5.5,no_event
Augsburg,2025-04-10,FALSE,FALSE,7.9,6.9,no_event
Augsburg,2025-04-11,FALSE,FALSE,9.6,8.3,no_event
Augsburg,2025-04-12,FALSE,FALSE,12.3,10.9,no_event
Augsburg,2025-04-13,FALSE,FALSE,12.9,11.7,no_event
Augsburg,2025-04-14,FALSE,FALSE,12.9,13.1,no_event
Augsburg,2025-04-15,FALSE,FALSE,13.8,13.9,no_event
Augsburg,2025-04-16,FALSE,TRUE,14.3,12.3,euroheat_only
Augsburg,2025-04-17,FALSE,FALSE,10.5,9.2,no_event
Augsburg,2025-04-18,FALSE,FALSE,8.5,4.6,no_event
Augsburg,2025-04-19,FALSE,FALSE,11.4,12.7,no_event
Augsburg,2025-04-20,FALSE,FALSE,12.5,11.5,no_event
Augsburg,2025-04-21,FALSE,FALSE,11.1,11.8,no_event
Augsburg,2025-04-22,FALSE,FALSE,11.5,11.3,no_event
Augsburg,2025-04-23,FALSE,FALSE,12.3,11.8,no_event
Augsburg,2025-04-24,FALSE,FALSE,9.9,7.3,no_event
Augsburg,2025-04-25,FALSE,FALSE,9.6,8.4,no_event
Augsburg,2025-04-26,FALSE,FALSE,10.6,5.9,no_event
Augsburg,2025-04-27,FALSE,FALSE,12.2,9.5,no_event
Augsburg,2025-04-28,FALSE,FALSE,13.9,14.9,no_event
Augsburg,2025-04-29,FALSE,FALSE,15.5,16.2,no_event
Augsburg,2025-04-30,FALSE,FALSE,16.4,16.5,no_event
Augsburg,2025-05-01,FALSE,TRUE,17.3,18.2,euroheat_only
Augsburg,2025-05-02,TRUE,TRUE,18.4,18.6,both
Augsburg,2025-05-03,TRUE,FALSE,16.2,14.2,ehf_only
Augsburg,2025-05-04,FALSE,FALSE,11.7,10.5,no_event
Augsburg,2025-05-05,FALSE,FALSE,7.2,-1.5,no_event
Augsburg,2025-05-06,FALSE,FALSE,8.8,5.6,no_event
Augsburg,2025-05-07,FALSE,FALSE,10.4,8.2,no_event
Augsburg,2025-05-08,FALSE,FALSE,10,7.5,no_event
Augsburg,2025-05-09,FALSE,FALSE,9.8,6.2,no_event
Augsburg,2025-05-10,FALSE,FALSE,11,9.8,no_event
Augsburg,2025-05-11,FALSE,FALSE,13.2,10.4,no_event
Augsburg,2025-05-12,FALSE,FALSE,13.2,12.7,no_event
Augsburg,2025-05-13,FALSE,FALSE,12.9,12.1,no_event
Augsburg,2025-05-14,FALSE,FALSE,14.2,15.2,no_event
Augsburg,2025-05-15,FALSE,FALSE,12.5,9.3,no_event
Augsburg,2025-05-16,FALSE,FALSE,10.4,9.2,no_event
Augsburg,2025-05-17,FALSE,FALSE,11.4,11.2,no_event
Augsburg,2025-05-18,FALSE,FALSE,12.3,9.4,no_event
Augsburg,2025-05-19,FALSE,FALSE,13.4,14.2,no_event
Augsburg,2025-05-20,FALSE,FALSE,15.6,15.7,no_event
Augsburg,2025-05-21,FALSE,FALSE,14.7,15.7,no_event
Augsburg,2025-05-22,FALSE,FALSE,11.8,9.9,no_event
Augsburg,2025-05-23,FALSE,FALSE,10.1,9.4,no_event
Augsburg,2025-05-24,FALSE,FALSE,11.5,11.5,no_event
Augsburg,2025-05-25,FALSE,FALSE,12.3,8,no_event
Augsburg,2025-05-26,FALSE,FALSE,13.8,11.7,no_event
Augsburg,2025-05-27,FALSE,FALSE,13.3,12.7,no_event
Augsburg,2025-05-28,FALSE,FALSE,13.8,7.5,no_event
Augsburg,2025-05-29,FALSE,FALSE,14,12.3,no_event
Augsburg,2025-05-30,FALSE,FALSE,18.5,19.8,no_event
Augsburg,2025-05-31,FALSE,FALSE,20.9,22.6,no_event
Augsburg,2025-06-01,FALSE,FALSE,19.7,20.7,no_event
Augsburg,2025-06-02,FALSE,FALSE,17.1,18.6,no_event
Augsburg,2025-06-03,FALSE,FALSE,17.6,19.6,no_event
Augsburg,2025-06-04,FALSE,FALSE,18.6,20.3,no_event
Augsburg,2025-06-05,FALSE,FALSE,16.1,15.8,no_event
Augsburg,2025-06-06,FALSE,FALSE,18.3,16.3,no_event
Augsburg,2025-06-07,FALSE,FALSE,16.6,14.3,no_event
Augsburg,2025-06-08,FALSE,FALSE,14.5,9,no_event
Augsburg,2025-06-09,FALSE,FALSE,14.6,16.3,no_event
Augsburg,2025-06-10,FALSE,FALSE,17.4,16.8,no_event
Augsburg,2025-06-11,FALSE,FALSE,17.7,18.8,no_event
Augsburg,2025-06-12,FALSE,FALSE,18.9,17.7,no_event
Augsburg,2025-06-13,FALSE,FALSE,21,19.8,no_event
Augsburg,2025-06-14,FALSE,FALSE,22.2,23.4,no_event
Augsburg,2025-06-15,FALSE,FALSE,21.4,23.2,no_event
Augsburg,2025-06-16,FALSE,FALSE,17.5,16.9,no_event
Augsburg,2025-06-17,FALSE,FALSE,18.7,19.3,no_event
Augsburg,2025-06-18,FALSE,FALSE,20.1,21.8,no_event
Augsburg,2025-06-19,FALSE,FALSE,21.3,22.3,no_event
Augsburg,2025-06-20,FALSE,FALSE,19.9,19.8,no_event
Augsburg,2025-06-21,FALSE,FALSE,20.4,19.3,no_event
Augsburg,2025-06-22,FALSE,FALSE,22.8,23.5,no_event
Augsburg,2025-06-23,FALSE,FALSE,22.6,20.7,no_event
Augsburg,2025-06-24,FALSE,FALSE,21.5,20.2,no_event
Augsburg,2025-06-25,FALSE,FALSE,24.1,24.7,no_event
Augsburg,2025-06-26,FALSE,FALSE,21.9,22.1,no_event
Augsburg,2025-06-27,FALSE,FALSE,20.9,21.1,no_event
Augsburg,2025-06-28,FALSE,FALSE,22.6,24.6,no_event
Augsburg,2025-06-29,FALSE,TRUE,24.8,27,euroheat_only
Augsburg,2025-06-30,TRUE,TRUE,25.4,25.9,both
Augsburg,2025-07-01,TRUE,TRUE,26.2,27.6,both
Augsburg,2025-07-02,TRUE,TRUE,26.5,27.8,both
Augsburg,2025-07-03,TRUE,FALSE,23,23.8,ehf_only
Augsburg,2025-07-04,FALSE,FALSE,21.1,23,no_event
Augsburg,2025-07-05,FALSE,FALSE,22.2,23.5,no_event
Augsburg,2025-07-06,FALSE,FALSE,21,20.7,no_event
Augsburg,2025-07-07,FALSE,FALSE,17.1,14.4,no_event
Augsburg,2025-07-08,FALSE,FALSE,13.6,10.5,no_event
Augsburg,2025-07-09,FALSE,FALSE,14.7,13,no_event
Augsburg,2025-07-10,FALSE,FALSE,17.2,17.8,no_event
Augsburg,2025-07-11,FALSE,FALSE,17.7,19.5,no_event
Augsburg,2025-07-12,FALSE,FALSE,18.6,19.3,no_event
Augsburg,2025-07-13,FALSE,FALSE,21,21,no_event
Augsburg,2025-07-14,FALSE,FALSE,19.3,17.7,no_event
Augsburg,2025-07-15,FALSE,FALSE,18.8,18.6,no_event
Augsburg,2025-07-16,FALSE,FALSE,17.2,13.7,no_event
Augsburg,2025-07-17,FALSE,FALSE,16.9,15.6,no_event
Augsburg,2025-07-18,FALSE,FALSE,19.5,20.7,no_event
Augsburg,2025-07-19,FALSE,FALSE,21.9,23.1,no_event
Augsburg,2025-07-20,FALSE,FALSE,22.9,24.7,no_event
Augsburg,2025-07-21,FALSE,FALSE,18.1,17.6,no_event
Augsburg,2025-07-22,FALSE,FALSE,18,14.6,no_event
Augsburg,2025-07-23,FALSE,FALSE,19.1,20.3,no_event
Augsburg,2025-07-24,FALSE,FALSE,17.2,19.4,no_event
Augsburg,2025-07-25,FALSE,FALSE,17.5,20.2,no_event
Augsburg,2025-07-26,FALSE,FALSE,16.6,17.7,no_event
Augsburg,2025-07-27,FALSE,FALSE,16.7,17.6,no_event
Augsburg,2025-07-28,FALSE,FALSE,15.4,12.3,no_event
Augsburg,2025-07-29,FALSE,FALSE,15.7,16.1,no_event
Augsburg,2025-07-30,FALSE,FALSE,15.7,14.8,no_event
Augsburg,2025-07-31,FALSE,FALSE,16.5,15.2,no_event
Augsburg,2025-08-01,FALSE,FALSE,16.6,15.9,no_event
Augsburg,2025-08-02,FALSE,FALSE,14.6,15,no_event
Augsburg,2025-08-03,FALSE,FALSE,14.1,13.1,no_event
Augsburg,2025-08-04,FALSE,FALSE,14.6,11.6,no_event
Augsburg,2025-08-05,FALSE,FALSE,18.6,18.1,no_event
Augsburg,2025-08-06,FALSE,FALSE,16.8,17.9,no_event
Augsburg,2025-08-07,FALSE,FALSE,18.7,20.4,no_event
Augsburg,2025-08-08,FALSE,FALSE,21.6,22.6,no_event
Augsburg,2025-08-09,FALSE,FALSE,24.3,25.7,no_event
Augsburg,2025-08-10,FALSE,FALSE,22.1,22.3,no_event
Augsburg,2025-08-11,FALSE,FALSE,21,20.1,no_event
Augsburg,2025-08-12,FALSE,FALSE,22.5,23.5,no_event
Augsburg,2025-08-13,FALSE,TRUE,25.3,26.4,euroheat_only
Augsburg,2025-08-14,FALSE,TRUE,25.6,27.3,euroheat_only
Augsburg,2025-08-15,FALSE,TRUE,24.5,26.7,euroheat_only
Augsburg,2025-08-16,FALSE,FALSE,21.5,24,no_event
Augsburg,2025-08-17,FALSE,FALSE,18.9,19.4,no_event
Augsburg,2025-08-18,FALSE,FALSE,18.7,18.8,no_event
Augsburg,2025-08-19,FALSE,FALSE,19.9,20.7,no_event
Augsburg,2025-08-20,FALSE,FALSE,19.9,21.7,no_event
Augsburg,2025-08-21,FALSE,FALSE,17,17.6,no_event
Augsburg,2025-08-22,FALSE,FALSE,16,15.6,no_event
Augsburg,2025-08-23,FALSE,FALSE,14.7,14,no_event
Augsburg,2025-08-24,FALSE,FALSE,15.4,16.1,no_event
Augsburg,2025-08-25,FALSE,FALSE,16.8,18,no_event
Augsburg,2025-08-26,FALSE,FALSE,19.2,19.9,no_event
Augsburg,2025-08-27,FALSE,FALSE,21.2,22,no_event
Augsburg,2025-08-28,FALSE,FALSE,17.4,17.7,no_event
Augsburg,2025-08-29,FALSE,FALSE,16.7,16.9,no_event
Augsburg,2025-08-30,FALSE,FALSE,16,14.6,no_event
Augsburg,2025-08-31,FALSE,FALSE,17.2,17.9,no_event
Augsburg,2025-09-01,FALSE,FALSE,16.7,16.9,no_event
Augsburg,2025-09-02,FALSE,FALSE,15.6,15.6,no_event
